customer_id,signup_date,location,age_group,gender
CUST_00129,2023-03-06,Toronto,46-55,Male
CUST_00130,2021-02-27,Houston,46-55,Male
CUST_00131,2021-08-23,New York,46-55,Female
CUST_00132,2023-04-22,Houston,36-45,Other
CUST_00133,2021-02-02,Los Angeles,55+,Other
CUST_00134,2023-04-05,Toronto,55+,Male
CUST_00135,2021-11-20,Los Angeles,46-55,Other
CUST_00136,2022-02-15,Sydney,18-25,Other
CUST_00137,2021-10-02,Paris,46-55,Female
CUST_00138,2021-03-09,Paris,36-45,Other
CUST_00139,2021-08-05,New York,55+,Other
CUST_00140,2023-07-25,Phoenix,26-35,Female
CUST_00141,2023-08-24,Chicago,46-55,Female
CUST_00142,2022-08-04,Los Angeles,46-55,Female
CUST_00143,2023-06-17,New York,18-25,Male
CUST_00144,2023-01-06,Chicago,18-25,Female
CUST_00145,2021-11-19,New York,55+,Other
CUST_00146,2021-08-06,Chicago,36-45,Other
CUST_00147,2022-11-03,Sydney,46-55,Male
CUST_00148,2022-05-27,London,26-35,Male
CUST_00149,2022-02-10,Berlin,26-35,Other
CUST_00150,2023-06-25,Berlin,46-55,Other
CUST_00151,2023-07-26,Phoenix,55+,Female
CUST_00152,2022-10-21,Chicago,55+,Male
CUST_00153,2022-04-15,London,18-25,Female
CUST_00154,2021-05-27,Chicago,36-45,Female
CUST_00155,2021-09-29,Phoenix,46-55,Male
CUST_00156,2021-05-23,Los Angeles,46-55,Male
CUST_00157,2021-09-10,New York,18-25,Female
CUST_00158,2023-02-02,London,46-55,Male
CUST_00159,2022-07-29,Toronto,36-45,Male
CUST_00160,2022-07-06,Phoenix,26-35,Female
CUST_00161,2021-09-27,Berlin,26-35,Other
CUST_00162,2023-02-04,Los Angeles,36-45,Male
CUST_00163,2022-08-22,Phoenix,26-35,Male
CUST_00164,2022-03-15,Paris,55+,Other
CUST_00165,2023-07-09,Los Angeles,46-55,Male
CUST_00166,2022-08-21,Sydney,36-45,Other
CUST_00167,2022-02-13,Sydney,55+,Female
CUST_00168,2022-01-06,Berlin,18-25,Female
CUST_00169,2021-08-13,London,55+,Male
CUST_00170,2021-05-22,New York,18-25,Male
CUST_00171,2022-06-06,Sydney,18-25,Other
CUST_00172,2022-05-21,Paris,55+,Female
CUST_00173,2021-04-04,Chicago,18-25,Other
CUST_00174,2023-02-13,London,55+,Male
CUST_00175,2021-02-18,Chicago,46-55,Male
CUST_00176,2023-06-01,Phoenix,46-55,Female
CUST_00177,2021-04-23,Los Angeles,18-25,Other
CUST_00178,2021-06-06,Paris,46-55,Other
CUST_00179,2022-10-05,Los Angeles,55+,Male
CUST_00180,2021-06-13,Houston,36-45,Female
CUST_00181,2023-03-23,Berlin,36-45,Other
CUST_00182,2022-11-28,New York,36-45,Male
CUST_00183,2022-03-09,New York,55+,Male
CUST_00184,2022-09-03,New York,18-25,Female
CUST_00185,2021-03-07,Houston,55+,Female
CUST_00186,2022-01-30,New York,18-25,Female
CUST_00187,2022-01-26,Sydney,18-25,Other
CUST_00188,2022-09-03,London,46-55,Other
CUST_00189,2022-04-25,Toronto,26-35,Female
CUST_00190,2022-06-26,Chicago,26-35,Female
CUST_00191,2021-09-15,Chicago,46-55,Other
CUST_00192,2023-09-22,New York,18-25,Female
CUST_00193,2022-07-21,Berlin,18-25,Female
CUST_00194,2023-06-01,Toronto,46-55,Other
CUST_00195,2023-08-24,Houston,36-45,Other
CUST_00196,2021-01-12,London,36-45,Other
CUST_00197,2022-11-28,Houston,55+,Other
CUST_00198,2023-01-09,Toronto,46-55,Male
CUST_00199,2021-04-28,London,46-55,Male
CUST_00200,2022-11-30,Phoenix,55+,Other
CUST_00201,2023-06-26,Los Angeles,36-45,Male
CUST_00202,2022-07-04,Paris,36-45,Male
CUST_00203,2023-02-08,London,26-35,Other
CUST_00204,2021-10-01,Los Angeles,26-35,Male
CUST_00205,2023-02-27,Berlin,26-35,Female
CUST_00206,2022-10-19,New York,18-25,Male
CUST_00207,2021-12-15,Chicago,55+,Female
CUST_00208,2021-04-25,Houston,36-45,Other
CUST_00209,2021-10-28,Berlin,18-25,Male
CUST_00210,2022-03-22,New York,46-55,Male
CUST_00211,2021-06-11,Toronto,55+,Other
CUST_00212,2022-04-10,Los Angeles,18-25,Other
CUST_00213,2021-01-04,Sydney,18-25,Other
CUST_00214,2023-09-04,Phoenix,46-55,Female
CUST_00215,2023-01-10,Phoenix,18-25,Female
CUST_00216,2023-06-16,London,18-25,Other
CUST_00217,2023-01-07,Los Angeles,26-35,Other
CUST_00218,2021-09-27,Berlin,46-55,Other
CUST_00219,2023-09-23,Sydney,46-55,Female
CUST_00220,2022-05-28,New York,46-55,Other
CUST_00221,2023-02-20,London,55+,Other
CUST_00222,2021-07-02,Houston,46-55,Other
CUST_00223,2022-06-04,Phoenix,36-45,Female
CUST_00224,2023-07-24,Paris,55+,Male
CUST_00225,2021-04-19,Phoenix,55+,Male
CUST_00226,2023-06-11,Paris,36-45,Male
CUST_00227,2022-10-03,Houston,46-55,Male
CUST_00228,2021-11-02,Sydney,36-45,Male
CUST_00229,2023-05-12,London,18-25,Male
CUST_00230,2022-10-17,Paris,26-35,Other
CUST_00231,2022-06-04,Sydney,26-35,Male
CUST_00232,2022-09-16,Houston,18-25,Male
CUST_00233,2021-07-23,Berlin,26-35,Male
CUST_00234,2021-06-06,Houston,18-25,Female
CUST_00235,2022-01-18,Chicago,18-25,Male
CUST_00236,2023-02-20,New York,26-35,Female
CUST_00237,2021-06-15,Toronto,18-25,Male
CUST_00238,2022-07-07,New York,26-35,Male
CUST_00239,2023-09-04,Houston,46-55,Male
CUST_00240,2023-03-09,Berlin,26-35,Other
CUST_00241,2023-08-03,London,26-35,Female
CUST_00242,2022-06-28,New York,46-55,Female
CUST_00243,2023-07-30,London,55+,Other
CUST_00244,2021-01-01,New York,26-35,Female
CUST_00245,2022-09-06,Toronto,18-25,Female
CUST_00246,2021-11-28,Phoenix,36-45,Female
CUST_00247,2022-05-16,Los Angeles,46-55,Other
CUST_00248,2021-01-20,Houston,26-35,Male
CUST_00249,2021-04-25,Berlin,46-55,Male
CUST_00250,2023-08-10,Houston,46-55,Other
CUST_00251,2022-01-07,Toronto,18-25,Female
CUST_00252,2023-06-19,Sydney,18-25,Female
CUST_00253,2023-05-02,New York,26-35,Female
CUST_00254,2023-04-07,Chicago,26-35,Other
CUST_00255,2021-11-11,Phoenix,46-55,Female
CUST_00256,2021-09-03,Los Angeles,46-55,Female
CUST_00257,2021-03-01,New York,46-55,Female
CUST_00258,2021-09-04,Houston,18-25,Other
CUST_00259,2023-06-19,Berlin,46-55,Female
CUST_00260,2022-08-04,Toronto,55+,Other
CUST_00261,2023-08-28,London,26-35,Male
CUST_00262,2021-03-22,Sydney,26-35,Other
CUST_00263,2021-03-29,Los Angeles,36-45,Male
CUST_00264,2023-01-20,Paris,55+,Male
CUST_00265,2022-05-13,Los Angeles,46-55,Other
CUST_00266,2023-04-16,Berlin,18-25,Female
CUST_00267,2021-03-12,Chicago,36-45,Other
CUST_00268,2023-02-18,Toronto,18-25,Male
CUST_00269,2022-06-30,Los Angeles,18-25,Female
CUST_00270,2023-02-24,Paris,46-55,Other
CUST_00271,2021-05-09,Paris,46-55,Female
CUST_00272,2021-05-12,New York,46-55,Female
CUST_00273,2022-11-07,Toronto,55+,Other
CUST_00274,2022-05-02,Chicago,55+,Female
CUST_00275,2023-08-28,Houston,55+,Other
CUST_00276,2022-07-17,Phoenix,36-45,Male
CUST_00277,2021-06-19,Phoenix,18-25,Other
CUST_00278,2021-09-29,London,46-55,Female
CUST_00279,2022-06-25,Toronto,46-55,Other
CUST_00280,2023-06-13,London,46-55,Female
CUST_00281,2022-09-14,London,55+,Male
CUST_00282,2022-03-10,Sydney,55+,Male
CUST_00283,2023-09-15,Phoenix,55+,Female
CUST_00284,2021-08-05,Houston,46-55,Female
CUST_00285,2023-08-10,Los Angeles,26-35,Other
CUST_00286,2022-07-07,Houston,18-25,Female
CUST_00287,2023-02-13,Chicago,55+,Other
CUST_00288,2023-01-18,Paris,18-25,Female
CUST_00289,2022-12-08,Los Angeles,46-55,Male
CUST_00290,2021-07-25,Chicago,55+,Other
CUST_00291,2023-01-01,Los Angeles,36-45,Other
CUST_00292,2021-11-16,Chicago,55+,Male
CUST_00293,2022-02-13,Sydney,18-25,Female
CUST_00294,2022-11-19,Sydney,36-45,Female
CUST_00295,2022-10-28,London,46-55,Male
CUST_00296,2022-01-18,Toronto,46-55,Other
CUST_00297,2022-03-25,Los Angeles,18-25,Male
CUST_00298,2023-07-11,Berlin,46-55,Male
CUST_00299,2022-06-14,London,55+,Female
CUST_00300,2022-04-08,Houston,36-45,Female
CUST_00301,2021-05-04,Sydney,46-55,Other
CUST_00302,2021-09-11,Phoenix,46-55,Male
CUST_00303,2021-08-19,Sydney,18-25,Male
CUST_00304,2021-03-07,Phoenix,26-35,Other
CUST_00305,2021-12-13,Los Angeles,36-45,Female
CUST_00306,2021-01-22,Los Angeles,26-35,Female
CUST_00307,2022-08-26,Chicago,46-55,Male
CUST_00308,2022-07-22,Phoenix,36-45,Female
CUST_00309,2021-08-24,Paris,46-55,Female
CUST_00310,2022-08-26,New York,26-35,Other
CUST_00311,2021-08-14,Houston,55+,Male
CUST_00312,2021-01-08,London,26-35,Other
CUST_00313,2021-03-14,Chicago,55+,Female
CUST_00314,2022-12-26,Los Angeles,36-45,Male
CUST_00315,2022-10-09,Houston,55+,Other
CUST_00316,2021-03-02,London,46-55,Female
CUST_00317,2021-08-23,Toronto,26-35,Other
CUST_00318,2021-03-11,Berlin,36-45,Female
CUST_00319,2023-07-17,New York,46-55,Female
CUST_00320,2021-02-02,Phoenix,46-55,Male
CUST_00321,2023-05-31,Phoenix,36-45,Other
CUST_00322,2021-12-05,Chicago,46-55,Other
CUST_00323,2021-03-14,New York,26-35,Female
CUST_00324,2022-06-11,Toronto,55+,Female
CUST_00325,2021-09-01,Sydney,26-35,Other
CUST_00326,2021-10-13,Berlin,36-45,Male
CUST_00327,2022-11-17,Berlin,18-25,Other
CUST_00328,2022-05-13,Houston,46-55,Male
CUST_00329,2021-08-08,Los Angeles,26-35,Other
CUST_00330,2022-07-07,Sydney,26-35,Female
CUST_00331,2021-05-16,Los Angeles,26-35,Other
CUST_00332,2023-01-11,Chicago,26-35,Other
CUST_00333,2023-08-16,Los Angeles,55+,Female
CUST_00334,2023-06-23,New York,46-55,Female
CUST_00335,2022-08-08,New York,18-25,Male
CUST_00336,2022-08-14,Houston,46-55,Female
CUST_00337,2022-04-30,Chicago,46-55,Other
CUST_00338,2021-09-06,Houston,36-45,Other
CUST_00339,2023-03-15,Toronto,26-35,Other
CUST_00340,2022-04-30,London,26-35,Male
CUST_00341,2023-04-07,Los Angeles,55+,Male
CUST_00342,2022-02-21,Paris,18-25,Female
CUST_00343,2021-07-14,Paris,18-25,Male
CUST_00344,2021-04-07,Phoenix,36-45,Other
CUST_00345,2021-04-10,Los Angeles,36-45,Other
CUST_00346,2022-11-06,New York,36-45,Male
CUST_00347,2022-03-18,Los Angeles,26-35,Other
CUST_00348,2021-12-29,Houston,26-35,Other
CUST_00349,2022-03-10,Sydney,55+,Male
CUST_00350,2022-02-25,Chicago,18-25,Male
CUST_00351,2022-04-24,Los Angeles,18-25,Male
CUST_00352,2023-06-04,London,36-45,Female
CUST_00353,2023-01-17,Los Angeles,46-55,Male
CUST_00354,2021-02-25,New York,18-25,Male
CUST_00355,2022-11-21,Sydney,55+,Female
CUST_00356,2022-11-01,New York,26-35,Other
CUST_00357,2022-10-24,Chicago,18-25,Other
CUST_00358,2021-04-11,Paris,55+,Male
CUST_00359,2021-03-04,Toronto,26-35,Female
CUST_00360,2022-02-17,Toronto,46-55,Male
CUST_00361,2023-01-16,Sydney,36-45,Other
CUST_00362,2021-12-14,New York,36-45,Female
CUST_00363,2023-03-31,Toronto,36-45,Male
CUST_00364,2023-06-02,Toronto,18-25,Other
CUST_00365,2021-04-22,Chicago,55+,Other
CUST_00366,2021-09-12,London,36-45,Other
CUST_00367,2021-07-16,Houston,26-35,Male
CUST_00368,2021-07-14,Chicago,55+,Female
CUST_00369,2022-07-04,Phoenix,55+,Other
CUST_00370,2022-04-05,Phoenix,18-25,Female
CUST_00371,2021-05-24,Sydney,18-25,Other
CUST_00372,2022-03-09,Chicago,46-55,Male
CUST_00373,2021-07-07,New York,46-55,Other
CUST_00374,2021-10-13,Paris,18-25,Other
CUST_00375,2022-04-19,Paris,18-25,Female
CUST_00376,2021-09-13,Paris,55+,Other
CUST_00377,2023-06-15,Houston,55+,Male
CUST_00378,2023-08-04,Phoenix,18-25,Other
CUST_00379,2021-03-19,Sydney,55+,Female
CUST_00380,2022-03-30,Toronto,18-25,Female
CUST_00381,2023-04-08,Berlin,55+,Other
CUST_00382,2023-06-02,Sydney,18-25,Other
CUST_00383,2023-05-27,New York,26-35,Male
CUST_00384,2022-07-18,Los Angeles,18-25,Male
CUST_00385,2021-04-11,Phoenix,26-35,Male
CUST_00386,2021-02-21,Toronto,36-45,Other
CUST_00387,2022-10-30,Chicago,26-35,Male
CUST_00388,2022-07-08,Toronto,36-45,Other
CUST_00389,2023-05-07,Houston,46-55,Female
CUST_00390,2021-01-16,Berlin,55+,Male
CUST_00391,2023-09-20,Houston,46-55,Male
CUST_00392,2021-04-06,Berlin,18-25,Female
CUST_00393,2023-08-07,New York,26-35,Male
CUST_00394,2023-02-11,Toronto,36-45,Female
CUST_00395,2023-05-20,London,36-45,Other
CUST_00396,2021-08-31,Sydney,26-35,Male
CUST_00397,2021-06-20,Berlin,18-25,Other
CUST_00398,2022-02-21,Sydney,26-35,Other
CUST_00399,2022-05-13,London,46-55,Female
CUST_00400,2022-05-08,Paris,46-55,Male
CUST_00401,2021-08-07,Berlin,18-25,Other
CUST_00402,2023-06-05,London,26-35,Other
CUST_00403,2022-02-15,Toronto,46-55,Male
CUST_00404,2023-07-14,Phoenix,36-45,Female
CUST_00405,2021-03-02,Chicago,36-45,Female
CUST_00406,2021-06-18,New York,55+,Other
CUST_00407,2022-01-24,London,26-35,Female
CUST_00408,2021-01-03,Paris,18-25,Male
CUST_00409,2022-02-04,Houston,36-45,Female
CUST_00410,2021-09-29,New York,36-45,Female
CUST_00411,2023-08-07,Phoenix,46-55,Other
CUST_00412,2023-03-14,New York,36-45,Other
CUST_00413,2023-03-15,Sydney,26-35,Male
CUST_00414,2022-04-11,Berlin,26-35,Other
CUST_00415,2021-10-20,London,55+,Female
CUST_00416,2022-03-10,Paris,46-55,Male
CUST_00417,2022-12-15,Houston,26-35,Male
CUST_00418,2023-09-08,Chicago,26-35,Male
CUST_00419,2023-01-19,Los Angeles,46-55,Male
CUST_00420,2023-03-14,Houston,46-55,Other
CUST_00421,2022-07-24,Houston,46-55,Male
CUST_00422,2022-11-09,Phoenix,46-55,Male
CUST_00423,2023-01-06,Berlin,55+,Female
CUST_00424,2022-05-14,New York,36-45,Other
CUST_00425,2021-06-08,Houston,18-25,Other
CUST_00426,2021-07-14,Paris,46-55,Male
CUST_00427,2021-10-31,Toronto,26-35,Male
CUST_00428,2021-08-11,London,18-25,Male
CUST_00429,2023-09-19,Chicago,55+,Male
CUST_00430,2021-03-01,Chicago,18-25,Other
CUST_00431,2022-08-17,Houston,18-25,Female
CUST_00432,2023-01-24,Paris,36-45,Female
CUST_00433,2022-07-10,London,36-45,Male
CUST_00434,2021-03-04,London,46-55,Other
CUST_00435,2023-02-05,Paris,26-35,Male
CUST_00436,2021-11-18,New York,46-55,Female
CUST_00437,2021-02-28,London,18-25,Other
CUST_00438,2021-02-21,Paris,46-55,Other
CUST_00439,2022-08-22,Paris,18-25,Male
CUST_00440,2022-05-04,Chicago,26-35,Other
CUST_00441,2022-05-30,Paris,55+,Other
CUST_00442,2023-07-31,Houston,18-25,Male
CUST_00443,2023-05-24,Sydney,55+,Female
CUST_00444,2022-06-28,Berlin,36-45,Male
CUST_00445,2021-06-11,Phoenix,46-55,Female
CUST_00446,2021-02-28,Chicago,46-55,Other
CUST_00447,2023-09-11,Sydney,55+,Female
CUST_00448,2022-06-05,New York,36-45,Male
CUST_00449,2021-03-24,Los Angeles,36-45,Female
CUST_00450,2023-05-22,New York,36-45,Male
CUST_00451,2021-07-10,Houston,18-25,Other
CUST_00452,2021-03-12,Paris,36-45,Female
CUST_00453,2022-09-02,Houston,55+,Female
CUST_00454,2021-03-11,New York,55+,Male
CUST_00455,2022-11-23,Berlin,26-35,Male
CUST_00456,2023-06-02,Sydney,46-55,Female
CUST_00457,2021-08-29,New York,46-55,Male
CUST_00458,2022-02-18,London,26-35,Male
CUST_00459,2021-05-03,Paris,55+,Female
CUST_00460,2023-08-23,Houston,55+,Female
CUST_00461,2023-07-01,Chicago,55+,Other
CUST_00462,2022-08-07,London,46-55,Female
CUST_00463,2021-09-10,Chicago,36-45,Female
CUST_00464,2022-08-16,London,46-55,Male
CUST_00465,2022-09-01,New York,26-35,Female
CUST_00466,2021-02-10,New York,36-45,Female
CUST_00467,2022-09-27,Chicago,18-25,Other
CUST_00468,2021-03-25,Paris,18-25,Female
CUST_00469,2022-03-06,Chicago,55+,Female
CUST_00470,2022-11-05,Los Angeles,36-45,Other
CUST_00471,2022-08-21,Berlin,46-55,Other
CUST_00472,2022-08-02,London,26-35,Female
CUST_00473,2022-06-20,Los Angeles,55+,Other
CUST_00474,2021-11-20,London,55+,Other
CUST_00475,2023-08-16,Toronto,36-45,Male
CUST_00476,2021-09-25,Paris,26-35,Male
CUST_00477,2021-07-29,Los Angeles,18-25,Other
CUST_00478,2022-11-17,London,55+,Female
CUST_00479,2023-01-04,Phoenix,55+,Male
CUST_00480,2021-11-18,London,36-45,Other
CUST_00481,2021-09-02,Chicago,55+,Other
CUST_00482,2021-09-29,Chicago,36-45,Male
CUST_00483,2022-02-10,Toronto,26-35,Other
CUST_00484,2021-05-15,Sydney,18-25,Female
CUST_00485,2022-11-19,London,18-25,Female
CUST_00486,2022-10-23,Chicago,55+,Other
CUST_00487,2021-11-04,Berlin,55+,Other
CUST_00488,2022-04-14,Paris,36-45,Female
CUST_00489,2021-11-20,London,26-35,Male
CUST_00490,2023-08-10,Houston,36-45,Female
CUST_00491,2023-02-09,Paris,46-55,Other
CUST_00492,2023-08-17,Chicago,55+,Other
CUST_00493,2021-03-16,Toronto,18-25,Other
CUST_00494,2021-01-10,Phoenix,18-25,Other
CUST_00495,2022-04-15,Phoenix,36-45,Female
CUST_00496,2022-09-29,Chicago,36-45,Male
CUST_00497,2022-07-31,Chicago,55+,Other
CUST_00498,2021-04-13,New York,36-45,Male
CUST_00499,2021-03-17,Paris,18-25,Female
CUST_00500,2022-07-05,Toronto,18-25,Male
CUST_00501,2021-08-07,Paris,18-25,Female
CUST_00502,2022-06-03,New York,46-55,Female
CUST_00503,2021-09-29,Chicago,36-45,Male
CUST_00504,2021-05-16,Paris,55+,Male
CUST_00505,2023-08-14,London,18-25,Other
CUST_00506,2021-12-24,Paris,46-55,Other
CUST_00507,2023-06-22,Houston,36-45,Other
CUST_00508,2021-03-12,Paris,26-35,Male
CUST_00509,2023-06-20,Los Angeles,55+,Female
CUST_00510,2021-09-08,Sydney,55+,Male
CUST_00511,2022-01-14,Chicago,55+,Female
CUST_00512,2021-10-19,London,55+,Other
CUST_00513,2021-06-11,Los Angeles,26-35,Female
CUST_00514,2022-03-25,Houston,36-45,Female
CUST_00515,2023-05-04,London,36-45,Other
CUST_00516,2022-07-11,London,36-45,Female
CUST_00517,2022-12-22,Chicago,55+,Other
CUST_00518,2021-11-06,Los Angeles,26-35,Other
CUST_00519,2022-09-19,London,46-55,Male
CUST_00520,2023-04-07,Sydney,55+,Female
CUST_00521,2022-11-01,New York,26-35,Other
CUST_00522,2022-06-26,Phoenix,18-25,Male
CUST_00523,2021-01-09,Houston,36-45,Other
CUST_00524,2022-11-15,Houston,55+,Female
CUST_00525,2023-04-17,Los Angeles,55+,Male
CUST_00526,2022-07-22,London,26-35,Male
CUST_00527,2021-11-03,Phoenix,36-45,Female
CUST_00528,2023-08-13,Los Angeles,46-55,Female
CUST_00529,2022-11-11,New York,18-25,Female
CUST_00530,2021-04-17,New York,26-35,Female
CUST_00531,2023-08-20,Toronto,46-55,Other
CUST_00532,2023-06-19,Sydney,46-55,Male
CUST_00533,2021-05-18,Toronto,18-25,Male
CUST_00534,2021-09-28,Chicago,18-25,Female
CUST_00535,2021-04-29,Toronto,18-25,Female
CUST_00536,2023-07-01,Sydney,46-55,Male
CUST_00537,2021-04-20,Toronto,26-35,Female
CUST_00538,2023-01-31,London,46-55,Other
CUST_00539,2022-07-21,Berlin,26-35,Male
CUST_00540,2021-06-09,Toronto,46-55,Male
CUST_00541,2021-10-06,Los Angeles,18-25,Female
CUST_00542,2021-10-16,Sydney,36-45,Other
CUST_00543,2022-09-12,Paris,55+,Female
CUST_00544,2021-08-04,Houston,46-55,Other
CUST_00545,2023-01-05,Chicago,55+,Other
CUST_00546,2021-12-18,Sydney,55+,Other
CUST_00547,2021-07-28,Los Angeles,55+,Female
CUST_00548,2022-12-05,New York,46-55,Other
CUST_00549,2022-10-12,Phoenix,36-45,Female
CUST_00550,2023-05-24,New York,55+,Female
