customer_id,last_order_date,frequency,monetary,recency,r_score,f_score,m_score,rfm_score,rfm_total,segment,signup_date,location,age_group,gender
CUST_00116,2022-11-23,3,824.0100000000001,344,1,2,2,122,1.6666666666666667,Lost,2021-06-17,Phoenix,18-25,Female
CUST_00118,2023-08-11,16,3108.84,83,4,4,4,444,4.0,Champion,2022-01-24,Phoenix,46-55,Female
CUST_00119,2022-10-25,3,245.91,373,1,2,1,121,1.3333333333333333,Lost,2021-10-04,Los Angeles,46-55,Female
CUST_00120,2023-08-07,8,1114.83,87,4,3,3,433,3.3333333333333335,Loyal Customer,2023-08-06,Berlin,36-45,Other
CUST_00121,2022-12-02,2,40.25,335,1,1,1,111,1.0,Lost,2022-10-18,Houston,55+,Other
CUST_00122,2023-02-24,3,340.3,251,2,2,2,222,2.0,Lost,2022-12-06,Chicago,26-35,Female
CUST_00123,2023-08-14,15,2047.1,80,4,4,4,444,4.0,Champion,2022-07-25,Berlin,36-45,Other
CUST_00124,2023-08-10,19,7674.38,84,4,5,5,455,4.666666666666667,Champion,2021-08-13,London,18-25,Female
CUST_00125,2023-08-13,14,3570.39,81,4,4,4,444,4.0,Champion,2022-12-03,Toronto,36-45,Other
CUST_00126,2022-12-26,3,733.59,311,1,2,2,122,1.6666666666666667,Lost,2021-11-29,Paris,55+,Female
CUST_00127,2023-05-15,3,394.68,171,3,2,2,322,2.3333333333333335,Others,2023-05-14,Los Angeles,26-35,Other
CUST_00128,2023-03-02,2,1238.92,245,2,1,3,213,2.0,Others,2023-02-26,Phoenix,46-55,Other
CUST_00129,2023-10-26,50,12929.53,7,5,5,5,555,5.0,Champion,2023-03-06,Toronto,46-55,Male
CUST_00130,2022-10-25,5,1187.73,373,1,3,3,133,2.3333333333333335,Needs Attention,2021-02-27,Houston,46-55,Male
CUST_00131,2023-04-10,7,1956.35,206,3,3,4,334,3.3333333333333335,Loyal Customer,2021-08-23,New York,46-55,Female
CUST_00132,2023-08-26,18,2384.73,68,4,4,4,444,4.0,Champion,2023-04-22,Houston,36-45,Other
CUST_00133,2023-10-14,23,4201.86,19,5,5,5,555,5.0,Champion,2021-02-02,Los Angeles,55+,Other
CUST_00134,2023-07-01,8,1552.4299999999998,124,3,3,3,333,3.0,Loyal Customer,2023-04-05,Toronto,55+,Male
CUST_00135,2022-11-30,3,370.51,337,1,2,2,122,1.6666666666666667,Lost,2021-11-20,Los Angeles,46-55,Other
CUST_00136,2023-08-26,18,2490.2,68,4,4,4,444,4.0,Champion,2022-02-15,Sydney,18-25,Other
CUST_00137,2022-11-28,3,1039.67,339,1,2,3,123,2.0,Others,2021-10-02,Paris,46-55,Female
CUST_00138,2022-12-23,2,71.42,314,1,1,1,111,1.0,Lost,2021-03-09,Paris,36-45,Other
CUST_00139,2023-04-22,13,2674.89,194,3,4,4,344,3.6666666666666665,Loyal Customer,2021-08-05,New York,55+,Other
CUST_00140,2023-07-26,3,737.84,99,4,2,2,422,2.6666666666666665,New Customer,2023-07-25,Phoenix,26-35,Female
CUST_00141,2023-08-25,1,706.13,69,4,1,2,412,2.3333333333333335,New Customer,2023-08-24,Chicago,46-55,Female
CUST_00142,2023-08-27,18,1852.07,67,4,4,4,444,4.0,Champion,2022-08-04,Los Angeles,46-55,Female
CUST_00143,2023-06-18,6,733.99,137,3,3,2,332,2.6666666666666665,Others,2023-06-17,New York,18-25,Male
CUST_00144,2023-09-01,13,1338.45,62,5,4,3,543,4.0,Loyal Customer,2023-01-06,Chicago,18-25,Female
CUST_00145,2023-05-24,18,1917.52,162,3,4,4,344,3.6666666666666665,Loyal Customer,2021-11-19,New York,55+,Other
CUST_00146,2023-09-02,25,5429.55,61,5,5,5,555,5.0,Champion,2021-08-06,Chicago,36-45,Other
CUST_00147,2023-04-11,6,839.19,205,3,3,2,332,2.6666666666666665,Others,2022-11-03,Sydney,46-55,Male
CUST_00148,2023-02-02,4,1221.19,273,2,2,3,223,2.3333333333333335,Others,2022-05-27,London,26-35,Male
CUST_00149,2023-10-26,34,7570.04,7,5,5,5,555,5.0,Champion,2022-02-10,Berlin,26-35,Other
CUST_00150,2023-08-29,14,2533.1,65,4,4,4,444,4.0,Champion,2023-06-25,Berlin,46-55,Other
CUST_00151,2023-07-27,3,502.7,98,4,2,2,422,2.6666666666666665,New Customer,2023-07-26,Phoenix,55+,Female
CUST_00152,2023-08-21,19,5767.92,73,4,5,5,455,4.666666666666667,Champion,2022-10-21,Chicago,55+,Male
CUST_00153,2023-10-31,37,11442.64,2,5,5,5,555,5.0,Champion,2022-04-15,London,18-25,Female
CUST_00154,2022-12-10,4,562.3,327,1,2,2,122,1.6666666666666667,Lost,2021-05-27,Chicago,36-45,Female
CUST_00155,2022-12-10,2,932.8000000000001,327,1,1,3,113,1.6666666666666667,Others,2021-09-29,Phoenix,46-55,Male
CUST_00156,2023-07-29,10,3068.29,96,4,4,4,444,4.0,Champion,2021-05-23,Los Angeles,46-55,Male
CUST_00157,2023-03-13,3,541.54,234,2,2,2,222,2.0,Lost,2021-09-10,New York,18-25,Female
CUST_00158,2023-02-26,1,860.21,249,2,1,2,212,1.6666666666666667,Lost,2023-02-02,London,46-55,Male
CUST_00159,2023-09-02,8,3731.89,61,5,3,4,534,4.0,Loyal Customer,2022-07-29,Toronto,36-45,Male
CUST_00160,2023-02-24,3,187.5,251,2,2,1,221,1.6666666666666667,Lost,2022-07-06,Phoenix,26-35,Female
CUST_00161,2023-08-18,17,3358.41,76,4,4,4,444,4.0,Champion,2021-09-27,Berlin,26-35,Other
CUST_00162,2023-04-27,6,938.06,189,3,3,3,333,3.0,Loyal Customer,2023-02-04,Los Angeles,36-45,Male
CUST_00163,2023-04-14,4,628.87,202,3,2,2,322,2.3333333333333335,Others,2022-08-22,Phoenix,26-35,Male
CUST_00164,2022-09-30,3,173.62,398,1,2,1,121,1.3333333333333333,Lost,2022-03-15,Paris,55+,Other
CUST_00165,2023-10-27,23,6497.4400000000005,6,5,5,5,555,5.0,Champion,2023-07-09,Los Angeles,46-55,Male
CUST_00166,2022-12-04,1,18.16,333,1,1,1,111,1.0,Lost,2022-08-21,Sydney,36-45,Other
CUST_00167,2023-08-28,9,952.47,66,4,4,3,443,3.6666666666666665,Loyal Customer,2022-02-13,Sydney,55+,Female
CUST_00168,2023-06-05,9,2902.34,150,3,4,4,344,3.6666666666666665,Loyal Customer,2022-01-06,Berlin,18-25,Female
CUST_00169,2023-09-22,40,9779.05,41,5,5,5,555,5.0,Champion,2021-08-13,London,55+,Male
CUST_00170,2022-10-22,7,1149.29,376,1,3,3,133,2.3333333333333335,Needs Attention,2021-05-22,New York,18-25,Male
CUST_00171,2023-03-26,7,1434.3,221,2,3,3,233,2.6666666666666665,Needs Attention,2022-06-06,Sydney,18-25,Other
CUST_00172,2023-10-31,54,15921.33,2,5,5,5,555,5.0,Champion,2022-05-21,Paris,55+,Female
CUST_00173,2023-03-29,3,838.6,218,2,2,2,222,2.0,Lost,2021-04-04,Chicago,18-25,Other
CUST_00174,2023-09-01,9,2361.5099999999998,62,5,4,4,544,4.333333333333333,Champion,2023-02-13,London,55+,Male
CUST_00175,2022-12-24,8,779.3199999999999,313,1,3,2,132,2.0,Others,2021-02-18,Chicago,46-55,Male
CUST_00176,2023-09-01,12,3049.92,62,5,4,4,544,4.333333333333333,Champion,2023-06-01,Phoenix,46-55,Female
CUST_00177,2023-04-29,3,627.1700000000001,187,3,2,2,322,2.3333333333333335,Others,2021-04-23,Los Angeles,18-25,Other
CUST_00178,2023-06-25,19,2248.15,130,3,5,4,354,4.0,Loyal Customer,2021-06-06,Paris,46-55,Other
CUST_00179,2023-02-23,2,143.12,252,2,1,1,211,1.3333333333333333,Lost,2022-10-05,Los Angeles,55+,Male
CUST_00180,2023-10-11,49,14584.960000000001,22,5,5,5,555,5.0,Champion,2021-06-13,Houston,36-45,Female
CUST_00181,2023-08-28,10,3241.68,66,4,4,4,444,4.0,Champion,2023-03-23,Berlin,36-45,Other
CUST_00182,2023-10-27,46,10067.95,6,5,5,5,555,5.0,Champion,2022-11-28,New York,36-45,Male
CUST_00183,2022-03-11,1,370.05,601,1,1,2,112,1.3333333333333333,Lost,2022-03-09,New York,55+,Male
CUST_00184,2023-02-15,3,200.7,260,2,2,1,221,1.6666666666666667,Lost,2022-09-03,New York,18-25,Female
CUST_00185,2023-04-07,18,2573.51,209,3,4,4,344,3.6666666666666665,Loyal Customer,2021-03-07,Houston,55+,Female
CUST_00186,2023-05-02,7,1625.3899999999999,184,3,3,3,333,3.0,Loyal Customer,2022-01-30,New York,18-25,Female
CUST_00187,2022-10-23,3,205.41000000000003,375,1,2,1,121,1.3333333333333333,Lost,2022-01-26,Sydney,18-25,Other
CUST_00188,2023-02-28,5,904.6400000000001,247,2,3,3,233,2.6666666666666665,Needs Attention,2022-09-03,London,46-55,Other
CUST_00189,2023-03-14,4,1418.77,233,2,2,3,223,2.3333333333333335,Others,2022-04-25,Toronto,26-35,Female
CUST_00190,2023-08-23,16,2586.95,71,4,4,4,444,4.0,Champion,2022-06-26,Chicago,26-35,Female
CUST_00191,2023-10-28,26,5275.48,5,5,5,5,555,5.0,Champion,2021-09-15,Chicago,46-55,Other
CUST_00192,2023-09-23,2,156.8,40,5,1,1,511,2.3333333333333335,New Customer,2023-09-22,New York,18-25,Female
CUST_00193,2022-11-14,1,93.62,353,1,1,1,111,1.0,Lost,2022-07-21,Berlin,18-25,Female
CUST_00194,2023-06-02,5,1634.34,153,3,3,3,333,3.0,Loyal Customer,2023-06-01,Toronto,46-55,Other
CUST_00195,2023-09-02,20,3893.71,61,5,5,5,555,5.0,Champion,2023-08-24,Houston,36-45,Other
CUST_00196,2023-06-27,18,3752.12,128,3,4,4,344,3.6666666666666665,Loyal Customer,2021-01-12,London,36-45,Other
CUST_00197,2023-02-05,2,327.96,270,2,1,2,212,1.6666666666666667,Lost,2022-11-28,Houston,55+,Other
CUST_00198,2023-03-01,2,351.58,246,2,1,2,212,1.6666666666666667,Lost,2023-01-09,Toronto,46-55,Male
CUST_00199,2022-12-21,3,819.51,316,1,2,2,122,1.6666666666666667,Lost,2021-04-28,London,46-55,Male
CUST_00200,2023-01-06,2,500.03999999999996,300,1,1,2,112,1.3333333333333333,Lost,2022-11-30,Phoenix,55+,Other
CUST_00201,2023-06-27,7,1419.9699999999998,128,3,3,3,333,3.0,Loyal Customer,2023-06-26,Los Angeles,36-45,Male
CUST_00202,2023-10-30,30,6286.87,3,5,5,5,555,5.0,Champion,2022-07-04,Paris,36-45,Male
CUST_00203,2023-08-26,11,1223.3400000000001,68,4,4,3,443,3.6666666666666665,Loyal Customer,2023-02-08,London,26-35,Other
CUST_00204,2022-06-24,1,174.79,496,1,1,1,111,1.0,Lost,2021-10-01,Los Angeles,26-35,Male
CUST_00205,2023-04-28,4,1139.34,188,3,2,3,323,2.6666666666666665,Others,2023-02-27,Berlin,26-35,Female
CUST_00206,2023-10-19,37,12220.99,14,5,5,5,555,5.0,Champion,2022-10-19,New York,18-25,Male
CUST_00207,2023-09-07,23,6184.21,56,5,5,5,555,5.0,Champion,2021-12-15,Chicago,55+,Female
CUST_00208,2023-02-22,5,1338.59,253,2,3,3,233,2.6666666666666665,Needs Attention,2021-04-25,Houston,36-45,Other
CUST_00209,2023-08-27,23,6498.05,67,4,5,5,455,4.666666666666667,Champion,2021-10-28,Berlin,18-25,Male
CUST_00210,2023-08-21,12,1684.98,73,4,4,3,443,3.6666666666666665,Loyal Customer,2022-03-22,New York,46-55,Male
CUST_00211,2023-03-01,8,2044.8899999999999,246,2,3,4,234,3.0,Needs Attention,2021-06-11,Toronto,55+,Other
CUST_00212,2022-10-03,3,334.1,395,1,2,2,122,1.6666666666666667,Lost,2022-04-10,Los Angeles,18-25,Other
CUST_00213,2022-07-08,4,488.32,482,1,2,2,122,1.6666666666666667,Lost,2021-01-04,Sydney,18-25,Other
CUST_00214,2023-09-05,15,3152.9,58,5,4,4,544,4.333333333333333,Champion,2023-09-04,Phoenix,46-55,Female
CUST_00215,2023-02-11,2,378.98,264,2,1,2,212,1.6666666666666667,Lost,2023-01-10,Phoenix,18-25,Female
CUST_00216,2023-08-24,10,3120.08,70,4,4,4,444,4.0,Champion,2023-06-16,London,18-25,Other
CUST_00217,2023-08-25,13,2865.54,69,4,4,4,444,4.0,Champion,2023-01-07,Los Angeles,26-35,Other
CUST_00218,2023-03-05,2,881.59,242,2,1,2,212,1.6666666666666667,Lost,2021-09-27,Berlin,46-55,Other
CUST_00219,2023-09-24,7,2269.83,39,5,3,4,534,4.0,Loyal Customer,2023-09-23,Sydney,46-55,Female
CUST_00220,2023-01-31,3,158.54,275,2,2,1,221,1.6666666666666667,Lost,2022-05-28,New York,46-55,Other
CUST_00221,2023-04-25,4,1076.6,191,3,2,3,323,2.6666666666666665,Others,2023-02-20,London,55+,Other
CUST_00222,2023-03-24,5,1159.74,223,2,3,3,233,2.6666666666666665,Needs Attention,2021-07-02,Houston,46-55,Other
CUST_00223,2023-10-09,56,12851.880000000001,24,5,5,5,555,5.0,Champion,2022-06-04,Phoenix,36-45,Female
CUST_00224,2023-08-29,11,4849.45,65,4,4,5,445,4.333333333333333,Champion,2023-07-24,Paris,55+,Male
CUST_00225,2023-07-29,14,2262.0,96,4,4,4,444,4.0,Champion,2021-04-19,Phoenix,55+,Male
CUST_00226,2023-08-24,12,3395.98,70,4,4,4,444,4.0,Champion,2023-06-11,Paris,36-45,Male
CUST_00227,2023-01-02,3,1367.02,304,1,2,3,123,2.0,Others,2022-10-03,Houston,46-55,Male
CUST_00228,2023-08-11,10,2352.19,83,4,4,4,444,4.0,Champion,2021-11-02,Sydney,36-45,Male
CUST_00229,2023-05-13,2,87.71000000000001,173,3,1,1,311,1.6666666666666667,Others,2023-05-12,London,18-25,Male
